,PassengerId,predictions
0,892,0
1,893,1
2,894,0
3,895,0
4,896,0
5,897,0
6,898,0
7,899,0
8,900,0
9,901,1
10,902,0
11,903,1
12,904,1
13,905,0
14,906,1
15,907,0
16,908,1
17,909,0
18,910,1
19,911,1
20,912,0
21,913,1
22,914,1
23,915,0
24,916,0
25,917,0
26,918,0
27,919,0
28,920,0
29,921,1
30,922,0
31,923,1
32,924,1
33,925,1
34,926,0
35,927,0
36,928,1
37,929,0
38,930,1
39,931,0
40,932,1
41,933,0
42,934,0
43,935,0
44,936,0
45,937,0
46,938,0
47,939,1
48,940,1
49,941,0
50,942,0
51,943,0
52,944,0
53,945,1
54,946,0
55,947,0
56,948,0
57,949,0
58,950,0
59,951,0
60,952,0
61,953,0
62,954,1
63,955,0
64,956,0
65,957,0
66,958,0
67,959,0
68,960,1
69,961,1
70,962,0
71,963,0
72,964,1
73,965,1
74,966,0
75,967,0
76,968,0
77,969,0
78,970,0
79,971,1
80,972,0
81,973,1
82,974,0
83,975,0
84,976,0
85,977,1
86,978,0
87,979,0
88,980,1
89,981,0
90,982,0
91,983,0
92,984,0
93,985,0
94,986,0
95,987,0
96,988,1
97,989,0
98,990,0
99,991,0
100,992,0
101,993,0
102,994,1
103,995,1
104,996,1
105,997,1
106,998,1
107,999,0
108,1000,1
109,1001,1
110,1002,0
111,1003,0
112,1004,0
113,1005,0
114,1006,0
115,1007,0
116,1008,0
117,1009,0
118,1010,1
119,1011,1
120,1012,0
121,1013,0
122,1014,0
123,1015,0
124,1016,1
125,1017,0
126,1018,1
127,1019,1
128,1020,0
129,1021,0
130,1022,1
131,1023,0
132,1024,0
133,1025,0
134,1026,0
135,1027,1
136,1028,0
137,1029,0
138,1030,0
139,1031,1
140,1032,0
141,1033,0
142,1034,0
143,1035,0
144,1036,0
145,1037,0
146,1038,0
147,1039,1
148,1040,1
149,1041,0
150,1042,1
151,1043,0
152,1044,1
153,1045,0
154,1046,0
155,1047,1
156,1048,1
157,1049,0
158,1050,0
159,1051,0
160,1052,1
161,1053,0
162,1054,1
163,1055,0
164,1056,0
165,1057,1
166,1058,0
167,1059,0
168,1060,0
169,1061,0
170,1062,1
171,1063,0
172,1064,0
173,1065,0
174,1066,1
175,1067,0
176,1068,0
177,1069,1
178,1070,1
179,1071,0
180,1072,1
181,1073,0
182,1074,0
183,1075,0
184,1076,0
185,1077,1
186,1078,1
187,1079,1
188,1080,1
189,1081,1
190,1082,0
191,1083,0
192,1084,0
193,1085,0
194,1086,0
195,1087,0
196,1088,1
197,1089,0
198,1090,1
199,1091,0
200,1092,0
201,1093,1
202,1094,0
203,1095,1
204,1096,0
205,1097,0
206,1098,0
207,1099,1
208,1100,1
209,1101,0
210,1102,1
211,1103,1
212,1104,0
213,1105,0
214,1106,0
215,1107,1
216,1108,1
217,1109,0
218,1110,0
219,1111,1
220,1112,0
221,1113,0
222,1114,0
223,1115,0
224,1116,0
225,1117,0
226,1118,0
227,1119,1
228,1120,1
229,1121,0
230,1122,0
231,1123,0
232,1124,0
233,1125,1
234,1126,0
235,1127,1
236,1128,1
237,1129,0
238,1130,0
239,1131,0
240,1132,1
241,1133,0
242,1134,1
243,1135,1
244,1136,1
245,1137,0
246,1138,0
247,1139,0
248,1140,0
249,1141,0
250,1142,1
251,1143,0
252,1144,1
253,1145,0
254,1146,0
255,1147,1
256,1148,0
257,1149,0
258,1150,0
259,1151,0
260,1152,1
261,1153,1
262,1154,1
263,1155,1
264,1156,1
265,1157,0
266,1158,1
267,1159,1
268,1160,0
269,1161,0
270,1162,0
271,1163,1
272,1164,0
273,1165,0
274,1166,1
275,1167,1
276,1168,1
277,1169,1
278,1170,1
279,1171,1
280,1172,0
281,1173,0
282,1174,1
283,1175,0
284,1176,0
285,1177,0
286,1178,0
287,1179,1
288,1180,0
289,1181,1
290,1182,1
291,1183,1
292,1184,0
293,1185,0
294,1186,1
295,1187,0
296,1188,1
297,1189,1
298,1190,0
299,1191,0
300,1192,1
301,1193,0
302,1194,1
303,1195,0
304,1196,0
305,1197,1
306,1198,0
307,1199,0
308,1200,1
309,1201,0
310,1202,1
311,1203,1
312,1204,0
313,1205,0
314,1206,0
315,1207,0
316,1208,0
317,1209,0
318,1210,0
319,1211,0
320,1212,0
321,1213,0
322,1214,1
323,1215,1
324,1216,0
325,1217,0
326,1218,1
327,1219,1
328,1220,0
329,1221,1
330,1222,1
331,1223,1
332,1224,1
333,1225,1
334,1226,0
335,1227,1
336,1228,0
337,1229,1
338,1230,0
339,1231,0
340,1232,0
341,1233,1
342,1234,1
343,1235,0
344,1236,1
345,1237,1
346,1238,0
347,1239,1
348,1240,0
349,1241,0
350,1242,1
351,1243,1
352,1244,0
353,1245,0
354,1246,0
355,1247,1
356,1248,1
357,1249,1
358,1250,0
359,1251,1
360,1252,0
361,1253,1
362,1254,1
363,1255,0
364,1256,0
365,1257,0
366,1258,0
367,1259,0
368,1260,0
369,1261,1
370,1262,0
371,1263,0
372,1264,1
373,1265,1
374,1266,0
375,1267,0
376,1268,0
377,1269,0
378,1270,0
379,1271,1
380,1272,1
381,1273,0
382,1274,1
383,1275,0
384,1276,0
385,1277,0
386,1278,0
387,1279,0
388,1280,1
389,1281,1
390,1282,0
391,1283,0
392,1284,0
393,1285,1
394,1286,1
395,1287,0
396,1288,1
397,1289,1
398,1290,0
399,1291,0
400,1292,0
401,1293,1
402,1294,1
403,1295,1
404,1296,0
405,1297,0
406,1298,1
407,1299,0
408,1300,0
409,1301,0
410,1302,0
411,1303,0
412,1304,0
413,1305,1
414,1306,0
415,1307,1
416,1308,0
417,1309,0
